activity_id;altitude;cadence;distance;heartrate;speed;time;idS;index;pace
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;4.1;69;0.4;15;35;1;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;11.1;75;1.1;20;35;2;15.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;23.6;82;2;25;35;3;8.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;37;91;2.6;30;35;4;6.4
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;50.6;96;2.7;35;35;5;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;64.3;110;2.7;40;35;6;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;78;126;2.7;45;35;7;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;91.8;130;2.8;50;35;8;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;105.5;131;2.8;55;35;9;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;119.2;134;2.7;60;35;10;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;132.9;124;2.7;65;35;11;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;146.7;128;2.7;70;35;12;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;160.4;123;2.8;75;35;13;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;174.2;130;2.8;80;35;14;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;187.9;124;2.8;85;35;15;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;201.6;118;2.7;90;35;16;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;215.3;127;2.7;95;35;17;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;229;134;2.7;100;35;18;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;242.7;136;2.7;105;35;19;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;256.4;138;2.7;110;35;20;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;270.1;146;2.7;115;35;21;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;283.9;142;2.8;120;35;22;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;297.6;128;2.8;125;35;23;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;311.3;117;2.7;130;35;24;6.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;325.1;120;2.8;135;35;25;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;338.9;113;2.8;140;35;26;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;352.7;112;2.8;145;35;27;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;366.6;110;2.8;150;35;28;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;380.4;106;2.8;155;35;29;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;394.3;106;2.8;160;35;30;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;408.1;108;2.8;165;35;31;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;422;115;2.8;170;35;32;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;435.8;114;2.8;175;35;33;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;449.6;113;2.8;180;35;34;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;463.4;112;2.8;185;35;35;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;477.3;114;2.8;190;35;36;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;491.2;114;2.8;195;35;37;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;505.1;112;2.8;200;35;38;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;519;113;2.8;205;35;39;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;532.8;111;2.8;210;35;40;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;546.7;112;2.8;215;35;41;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;560.5;108;2.8;220;35;42;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;574.3;108;2.8;225;35;43;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;588.1;114;2.8;230;35;44;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;601.9;108;2.8;235;35;45;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;615.8;101;2.8;240;35;46;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;629.6;99;2.8;245;35;47;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;643.4;99;2.8;250;35;48;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;657.3;99;2.8;255;35;49;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;671.1;100;2.8;260;35;50;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;685;100;2.8;265;35;51;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;698.9;100;2.8;270;35;52;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;712.8;101;2.8;275;35;53;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;726.6;104;2.8;280;35;54;6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;736.7;106;2.4;285;35;55;6.9
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;743.2;102;1.7;290;35;56;9.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;749;98;1.2;295;35;57;13.9
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;754.1;97;1.1;300;35;58;15.2
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;759;93;1;305;35;59;16.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;763.7;93;1;310;35;60;16.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;765.2;85;0.6;315;35;61;27.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;766.1;79;0.2;320;35;62;83.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;766.6;79;0.2;321;35;63;83.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;766.7;78;0.2;322;35;64;83.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;766.7;78;0.2;323;35;65;83.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;766.7;77;0.2;324;35;66;83.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;766.7;76;0.1;325;35;67;166.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;767.2;77;0.1;329;35;68;166.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;767.7;76;0.2;330;35;69;83.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;768.1;80;0.3;331;35;70;55.6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;768.6;79;0.4;332;35;71;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;769;79;0.5;333;35;72;33.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;769.4;78;0.4;334;35;73;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;769.7;78;0.4;335;35;74;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;770.1;81;0.4;336;35;75;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;770.4;80;0.4;337;35;76;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;770.8;80;0.4;338;35;77;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;771.1;79;0.3;339;35;78;55.6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;771.5;79;0.4;340;35;79;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;771.8;81;0.3;341;35;80;55.6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;772.2;80;0.4;342;35;81;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;772.5;80;0.3;343;35;82;55.6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;772.9;80;0.4;344;35;83;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;773.2;79;0.3;345;35;84;55.6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;773.7;82;0.4;346;35;85;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;774.2;82;0.4;347;35;86;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;774.7;81;0.4;348;35;87;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;775.5;81;0.5;349;35;88;33.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;776.3;81;0.6;350;35;89;27.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;777.1;93;0.7;351;35;90;23.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;778;93;0.8;352;35;91;20.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;778.9;92;0.8;353;35;92;20.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;779.7;92;0.8;354;35;93;20.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;780.4;92;0.8;355;35;94;20.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;780.4;93;0.7;356;35;95;23.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;780.4;93;0.5;357;35;96;33.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;780.4;93;0.3;358;35;97;55.6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;781;92;0.3;359;35;98;55.6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;781.6;92;0.2;360;35;99;83.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;782.2;97;0.4;361;35;100;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;782.8;96;0.5;362;35;101;33.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;783.3;96;0.6;363;35;102;27.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;783.9;96;0.6;364;35;103;27.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;784.4;95;0.6;365;35;104;27.8
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;784.4;96;0.4;366;35;105;41.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;784.4;96;0.3;367;35;106;55.6
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;784.4;96;0.2;368;35;107;83.3
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;784.4;95;0.1;369;35;108;166.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;784.7;95;0.1;370;35;109;166.7
bae93b27-755d-440d-b964-4f83bd42faff;37.8;NA;785;94;0.1;371;35;110;166.7
